@relation 'HTS data set-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 23'

@attribute feature7 numeric
@attribute feature236 numeric
@attribute feature10 numeric
@attribute feature239 numeric
@attribute feature124 numeric
@attribute feature2 numeric
@attribute feature241 numeric
@attribute feature9 numeric
@attribute feature3 numeric
@attribute feature125 numeric
@attribute feature244 numeric
@attribute feature165 numeric
@attribute feature195 numeric
@attribute feature242 numeric
@attribute feature4 numeric
@attribute feature225 numeric
@attribute feature132 numeric
@attribute feature237 numeric
@attribute feature5 numeric
@attribute feature128 numeric
@attribute feature6 numeric
@attribute feature129 numeric
@attribute feature127 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.006136,0.005815,0.007019,0.007126,0.006495,0.007199,0.00582,0.005463,0.001252,0.001173,0.007126,5.263224,5.354511,0.00051,0.005463,5.453742,0.006592,0.000427,0.011734,1.242008,0.975677,0.00557,0.011734,7
0.007557,0.007475,0.008423,0.008484,0.007404,0.007357,0.007297,0.006912,0.000576,0.000523,0.008255,7.912635,7.908841,0.000497,0.006271,7.889259,0.00824,0.000424,0.009445,1.973648,1.609552,0.007125,0.009445,3
0.006431,0.005868,0.008057,0.008057,0.006166,0.006517,0.005801,0.004807,0.000472,0.000773,0.008026,8.660441,8.834526,0.000911,0.004807,8.969282,0.007095,0.000867,0.008209,1.212573,1.048173,0.005342,0.008209,3
0.007502,0.006863,0.008637,0.008743,0.007883,0.008794,0.006874,0.005982,0.001556,0.001689,0.008652,6.361168,6.528255,0.001162,0.005982,6.681126,0.008606,0.001064,0.014084,1.291951,1.147814,0.006364,0.014084,7
0.007059,0.006489,0.008148,0.008331,0.007746,0.00877,0.006587,0.006134,0.001236,0.001521,0.008331,7.158622,7.325342,0.000657,0.006134,7.489289,0.007156,0.000534,0.012085,1.665278,1.447074,0.006191,0.012085,6
0.008773,0.008492,0.009888,0.01059,0.01015,0.011584,0.008413,0.008057,0.002323,0.002358,0.010452,6.593815,6.751098,0.000755,0.008057,6.903348,0.010452,0.000689,0.016907,1.929671,1.517678,0.008142,0.016907,6
0.008051,0.007341,0.008896,0.008942,0.008065,0.00889,0.007194,0.007202,0.001059,0.001205,0.008896,7.638101,7.758432,0.000901,0.007202,7.861359,0.008057,0.000715,0.012222,1.525887,1.360632,0.006577,0.012222,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
